Customer Email;Order Date;Total (DKK)
user152@shop.com;14/07/2024;41.63
user99@shop.com;28/08/2024;21.57
;20/09/2024;23.61
user5@shop.com;07/10/2024;52.99
User39@Shop.com;09/10/2024;46.79
User77@Shop.com;12/10/2024;20.75
User387@Shop.com;15/10/2024;6.88
user277@shop.com;29/10/2024;68.68
User352@Shop.com;08/11/2024;86.76
user81@shop.com;01/12/2024;13.11
user288@shop.com;27/01/2025;58.76
user148@shop.com;31/01/2025;63.13
user196@shop.com;01/03/2025;23.31
user2@shop.com;21/05/2025;56.22
User247@Shop.com;20/06/2025;7.87
User332@Shop.com;13/09/2025;-109.62
user265@shop.com;31/10/2025;58.42
user62@shop.com;15/11/2025;30.49
user213@shop.com;26/11/2025;65.71
user107@shop.com;17/02/2024;22.02
user385@shop.com;28/06/2024;30.1
User352@Shop.com;14/12/2024;14.29
user75@shop.com;06/06/2025;53.86
User204@Shop.com;30/07/2025;87.67
User375@Shop.com;10/09/2025;34.8
user339@shop.com;22/01/2024;17.7
User283@Shop.com;15/02/2024;72.83
User256@Shop.com;21/02/2024;30.7
User17@Shop.com;01/04/2024;67.71
user296@shop.com;30/04/2024;42.26
User189@Shop.com;11/05/2024;45.6
User37@Shop.com;03/06/2024;59.23
user98@shop.com;22/06/2024;94.73
user216@shop.com;23/06/2024;141.83
user290@shop.com;09/10/2024;65.02
User203@Shop.com;11/11/2024;81.44
User245@Shop.com;19/11/2024;77.32
user348@shop.com;01/01/2025;47.83
User274@Shop.com;06/05/2025;34.57
User145@Shop.com;11/05/2025;17.26
user257@shop.com;21/05/2025;52.56
user239@shop.com;01/08/2025;17.88
User44@Shop.com;04/11/2025;24.92
user24@shop.com;30/05/2024;73.08
user264@shop.com;10/06/2024;94.72
User155@Shop.com;17/06/2024;70.33
User239@Shop.com;10/07/2024;22.4
;14/09/2024;28.35
user91@shop.com;25/12/2024;64.19
user60@shop.com;19/02/2025;76.25
User153@Shop.com;18/04/2025;92.19
User326@Shop.com;08/06/2025;37.3
User160@Shop.com;14/06/2025;16.45
user152@shop.com;17/07/2025;105.14
user230@shop.com;12/10/2025;66.14
user391@shop.com;12/10/2025;26.57
User157@Shop.com;19/12/2025;39.47
user236@shop.com;07/03/2024;63.26
user176@shop.com;13/03/2024;11.94
;27/04/2024;135.01
User178@Shop.com;05/06/2024;10.25
user255@shop.com;09/06/2024;79.93
user219@shop.com;16/07/2024;81.51
user270@shop.com;20/07/2024;-14.07
user382@shop.com;22/07/2024;42.35
User61@Shop.com;07/08/2024;59.2
User225@Shop.com;16/09/2024;35.53
User176@Shop.com;18/09/2024;150.13
;23/10/2024;63.91
user96@shop.com;27/11/2024;78.69
user21@shop.com;05/02/2025;50.89
User161@Shop.com;16/07/2025;15.48
user330@shop.com;01/08/2025;58.8
User39@Shop.com;07/11/2025;6.85
user163@shop.com;05/01/2024;158.57
user387@shop.com;01/02/2024;29.85
User380@Shop.com;15/02/2024;184.08
user86@shop.com;06/03/2024;23.36
user4@shop.com;15/03/2024;30.9
user269@shop.com;19/03/2024;21.37
User6@Shop.com;04/05/2024;43.6
user120@shop.com;01/08/2024;43.19
user199@shop.com;16/11/2024;70.65
user349@shop.com;23/11/2024;26.27
User38@Shop.com;22/01/2025;53.45
user265@shop.com;23/02/2025;38.3
user213@shop.com;01/03/2025;86.33
User53@Shop.com;24/04/2025;41.64
;22/05/2025;37.12
User338@Shop.com;25/06/2025;76.43
user193@shop.com;30/06/2025;39.55
User378@Shop.com;03/08/2025;49.58
user243@shop.com;20/09/2025;46.49
User361@Shop.com;13/10/2025;19.42
User384@Shop.com;01/11/2025;35.81
User228@Shop.com;24/11/2025;28.61
User113@Shop.com;24/11/2025;114.43
user59@shop.com;06/02/2024;72.81
User225@Shop.com;18/02/2024;31.94
user77@shop.com;05/11/2024;37.59
User300@Shop.com;01/04/2025;45.97
User371@Shop.com;21/07/2025;20.26
user98@shop.com;30/07/2025;55.95
user221@shop.com;06/09/2025;30.31
user20@shop.com;18/09/2025;72.68
User73@Shop.com;27/09/2025;1.21
user151@shop.com;12/01/2024;61.02
User353@Shop.com;01/02/2024;58.39
user387@shop.com;25/04/2024;45.36
User256@Shop.com;31/05/2024;33.35
User233@Shop.com;04/07/2024;110.29
user228@shop.com;02/10/2024;81.3
user25@shop.com;09/10/2024;51.74
user151@shop.com;29/10/2024;15.29
user393@shop.com;31/10/2024;34.8
User164@Shop.com;17/12/2024;23.5
User86@Shop.com;29/04/2025;57.29
User96@Shop.com;10/05/2025;90.5
user285@shop.com;03/08/2025;24.13
User16@Shop.com;26/08/2025;44.8
user387@shop.com;01/10/2025;114.69
User350@Shop.com;29/11/2025;11.44
User227@Shop.com;10/12/2025;19.53
user187@shop.com;12/01/2024;45.8
User304@Shop.com;19/01/2024;41.55
User219@Shop.com;08/03/2024;18.58
User191@Shop.com;20/05/2024;12.43
User129@Shop.com;26/07/2024;24.31
user179@shop.com;19/08/2024;47.07
user300@shop.com;17/09/2024;67.74
user22@shop.com;24/12/2024;12.41
User11@Shop.com;20/01/2025;47.87
User288@Shop.com;13/02/2025;29.79
user149@shop.com;22/02/2025;22.17
User321@Shop.com;10/03/2025;79.03
user13@shop.com;11/03/2025;28.08
user362@shop.com;24/04/2025;-40.52
user50@shop.com;03/07/2025;8.69
user166@shop.com;19/10/2025;6.13
user386@shop.com;24/11/2025;67.14
user44@shop.com;26/11/2025;47.33
user263@shop.com;04/01/2024;23.47
user291@shop.com;28/01/2024;76.9
User171@Shop.com;03/03/2024;29.55
user32@shop.com;05/03/2024;36.06
user209@shop.com;15/03/2024;19.34
User173@Shop.com;24/04/2024;30.54
user349@shop.com;09/07/2024;121.5
user273@shop.com;25/07/2024;21.46
User138@Shop.com;26/07/2024;22.78
User24@Shop.com;30/09/2024;25.35
User236@Shop.com;27/11/2024;20.67
user112@shop.com;19/12/2024;56.27
User273@Shop.com;28/01/2025;41.73
;12/05/2025;16.7
user142@shop.com;01/06/2025;23.58
user361@shop.com;26/06/2025;68.17
User208@Shop.com;29/06/2025;24.49
User212@Shop.com;04/07/2025;133.43
user306@shop.com;17/07/2025;37.08
user315@shop.com;20/07/2025;106.77
User363@Shop.com;09/09/2025;129.36
User399@Shop.com;20/09/2025;86.95
user61@shop.com;24/11/2025;43.94
user165@shop.com;15/12/2025;42.6
user373@shop.com;17/12/2025;19.23
User123@Shop.com;05/01/2024;61.59
user3@shop.com;01/03/2024;145.81
user230@shop.com;25/03/2024;185.89
user301@shop.com;29/03/2024;81.1
user297@shop.com;30/03/2024;61.14
user324@shop.com;31/03/2024;31.98
user257@shop.com;20/04/2024;62.54
User55@Shop.com;03/07/2024;88.93
user339@shop.com;18/10/2024;18.13
User168@Shop.com;25/10/2024;7.15
User339@Shop.com;12/01/2025;16.04
user326@shop.com;03/02/2025;78.53
user388@shop.com;07/02/2025;82.07
user6@shop.com;21/02/2025;13.63
User346@Shop.com;08/04/2025;23.84
;09/05/2025;24.79
User194@Shop.com;17/05/2025;14.78
user317@shop.com;15/08/2025;32.31
User380@Shop.com;28/08/2025;67.5
User205@Shop.com;07/01/2024;49.05
user35@shop.com;23/01/2024;30.31
User290@Shop.com;31/07/2024;13.41
user93@shop.com;02/08/2024;94.38
User91@Shop.com;04/08/2024;33.72
User77@Shop.com;09/09/2024;31.1
User80@Shop.com;14/10/2024;57.13
user364@shop.com;29/11/2024;52.65
User145@Shop.com;25/12/2024;14.65
user43@shop.com;20/05/2025;12.74
user72@shop.com;01/07/2025;152.78
user158@shop.com;23/10/2025;115.04
user139@shop.com;23/11/2025;105.16
User124@Shop.com;01/02/2024;118.08
user379@shop.com;07/02/2024;87.2
user346@shop.com;12/03/2024;86.71
user229@shop.com;18/03/2024;42.15
User394@Shop.com;25/03/2024;58.98
user136@shop.com;09/05/2024;88.72
user55@shop.com;13/07/2024;56.59
User109@Shop.com;26/07/2024;32.77
User36@Shop.com;08/08/2024;70.86
User380@Shop.com;05/09/2024;51.83
User88@Shop.com;24/10/2024;39.37
user178@shop.com;12/11/2024;5.79
User81@Shop.com;12/11/2024;62.51
User392@Shop.com;25/12/2024;-138.52
User64@Shop.com;04/02/2025;82.83
User206@Shop.com;14/02/2025;52.77
user380@shop.com;23/02/2025;79.06
user208@shop.com;27/03/2025;16.11
User359@Shop.com;18/05/2025;48.21
User358@Shop.com;30/05/2025;77.01
user307@shop.com;17/06/2025;53.38
user297@shop.com;04/07/2025;125.34
user231@shop.com;03/08/2025;69.8
user232@shop.com;15/08/2025;21.78
User332@Shop.com;03/01/2024;97.53
user171@shop.com;25/01/2024;35.39
User378@Shop.com;01/05/2024;82.17
user351@shop.com;30/06/2024;117.97
user150@shop.com;02/08/2024;21.27
user165@shop.com;12/08/2024;18.26
User286@Shop.com;20/09/2024;95.13
user369@shop.com;11/11/2024;65.71
user39@shop.com;09/03/2025;18.81
User28@Shop.com;14/03/2025;54.94
User100@Shop.com;20/05/2025;25.76
user172@shop.com;03/06/2025;115.06
User65@Shop.com;17/06/2025;43.58
user208@shop.com;25/06/2025;98.1
User216@Shop.com;16/08/2025;50.03
user380@shop.com;22/08/2025;7.58
User298@Shop.com;30/08/2025;3.1
user101@shop.com;05/09/2025;53.44
User314@Shop.com;19/03/2024;57.77
user322@shop.com;12/08/2024;39.35
user272@shop.com;30/08/2024;107.94
User270@Shop.com;01/11/2024;25.82
;19/11/2024;43.33
user287@shop.com;07/03/2025;29.96
user54@shop.com;10/06/2025;31.51
User252@Shop.com;30/07/2025;90.16
;01/11/2025;11.08
user388@shop.com;23/02/2024;7.26
user119@shop.com;02/03/2024;59.26
;28/03/2024;14.97
User247@Shop.com;26/05/2024;36.17
user159@shop.com;12/07/2024;110.61
User292@Shop.com;20/08/2024;116.51
User81@Shop.com;15/09/2024;21.98
User68@Shop.com;02/11/2024;57.49
user21@shop.com;08/01/2025;24.93
user188@shop.com;16/03/2025;13.12
user85@shop.com;05/06/2025;22.84
user120@shop.com;13/06/2025;39.71
user366@shop.com;05/08/2025;9.4
User325@Shop.com;01/09/2025;41.82
User336@Shop.com;15/11/2025;42.57
user237@shop.com;20/11/2025;9.89
user45@shop.com;24/11/2025;16.65
User298@Shop.com;03/12/2025;88.96
user241@shop.com;07/12/2025;83.93
user363@shop.com;10/12/2025;38.14
User192@Shop.com;16/01/2024;115.89
User70@Shop.com;15/02/2024;20.31
User238@Shop.com;14/03/2024;13.42
User182@Shop.com;02/04/2024;9.2
user264@shop.com;25/04/2024;7.64
user150@shop.com;29/04/2024;41.84
User123@Shop.com;22/05/2024;54.34
user50@shop.com;11/08/2024;38.76
User384@Shop.com;03/09/2024;42.79
user302@shop.com;14/10/2024;56.82
user186@shop.com;15/10/2024;-4.69
User94@Shop.com;17/11/2024;70.36
user251@shop.com;20/12/2024;138.26
User165@Shop.com;01/01/2025;81.45
User254@Shop.com;25/01/2025;83.59
User37@Shop.com;01/02/2025;20.65
User74@Shop.com;11/03/2025;61.79
User294@Shop.com;15/03/2025;71.02
User25@Shop.com;22/03/2025;11.61
User271@Shop.com;05/04/2025;50.63
User165@Shop.com;20/04/2025;58.41
user2@shop.com;24/07/2025;42.06
user305@shop.com;13/08/2025;17.05
user280@shop.com;03/11/2025;21.58
user326@shop.com;01/04/2024;32.09
user358@shop.com;26/05/2024;0.34
User292@Shop.com;28/05/2024;28.84
user336@shop.com;30/05/2024;101.62
user46@shop.com;07/10/2024;43.17
User367@Shop.com;15/10/2024;75.06
user365@shop.com;08/12/2024;52.0
user277@shop.com;20/12/2024;28.09
User321@Shop.com;02/03/2025;42.58
User296@Shop.com;13/03/2025;14.16
user351@shop.com;24/04/2025;-23.65
user355@shop.com;28/04/2025;25.4
user209@shop.com;18/05/2025;70.78
User326@Shop.com;10/06/2025;66.72
User366@Shop.com;16/09/2025;58.51
user119@shop.com;20/10/2025;24.48
User19@Shop.com;21/10/2025;0.87
user68@shop.com;04/12/2025;29.71
User13@Shop.com;10/12/2025;60.18
user174@shop.com;27/01/2024;51.19
user9@shop.com;01/03/2024;59.21
user104@shop.com;24/03/2024;32.94
user101@shop.com;07/04/2024;74.63
User282@Shop.com;29/05/2024;42.39
User100@Shop.com;01/06/2024;15.07
User379@Shop.com;06/06/2024;80.82
;26/07/2024;14.91
user388@shop.com;30/09/2024;24.39
user227@shop.com;20/10/2024;4.87
User98@Shop.com;15/12/2024;89.89
User16@Shop.com;24/02/2025;37.79
user123@shop.com;28/02/2025;76.65
User236@Shop.com;19/06/2025;65.26
User44@Shop.com;08/07/2025;7.65
User67@Shop.com;22/07/2025;-47.59
user46@shop.com;13/08/2025;21.59
User271@Shop.com;26/10/2025;38.82
user36@shop.com;07/11/2025;10.66
user9@shop.com;26/11/2025;54.79
;30/11/2025;64.65
user124@shop.com;22/01/2024;52.74
user228@shop.com;01/02/2024;62.21
User375@Shop.com;12/02/2024;38.16
User343@Shop.com;02/03/2024;61.87
User215@Shop.com;18/03/2024;17.85
user257@shop.com;26/03/2024;8.24
user324@shop.com;15/04/2024;71.68
user175@shop.com;16/04/2024;30.5
User263@Shop.com;17/05/2024;61.43
user87@shop.com;24/05/2024;21.23
user244@shop.com;01/06/2024;46.91
user95@shop.com;13/07/2024;88.56
User77@Shop.com;15/01/2025;28.36
User304@Shop.com;23/01/2025;140.44
User230@Shop.com;23/05/2025;33.49
;05/07/2025;53.85
user16@shop.com;13/07/2025;57.5
User95@Shop.com;20/07/2025;21.18
User320@Shop.com;01/10/2025;9.63
User187@Shop.com;10/02/2024;14.84
user384@shop.com;06/04/2024;29.31
;18/05/2024;74.44
user341@shop.com;29/06/2024;49.99
User7@Shop.com;11/10/2024;-26.46
User21@Shop.com;10/12/2024;104.22
user231@shop.com;05/02/2025;32.73
User136@Shop.com;10/06/2025;30.82
user336@shop.com;19/09/2025;128.55
user127@shop.com;07/12/2025;13.99
user62@shop.com;08/12/2025;30.72
user45@shop.com;19/12/2025;71.19
user121@shop.com;20/03/2024;35.57
user251@shop.com;24/04/2024;51.43
user51@shop.com;30/04/2024;78.34
user319@shop.com;04/06/2024;62.92
user121@shop.com;02/08/2024;5.12
User126@Shop.com;08/08/2024;111.68
user265@shop.com;11/08/2024;84.92
user345@shop.com;14/10/2024;27.45
User174@Shop.com;16/01/2025;-85.4
user319@shop.com;20/02/2025;107.74
user122@shop.com;26/03/2025;74.31
user52@shop.com;07/04/2025;37.48
user331@shop.com;07/06/2025;65.17
;26/06/2025;96.07
User300@Shop.com;22/07/2025;74.97
user353@shop.com;09/08/2025;41.62
User199@Shop.com;11/09/2025;62.72
user79@shop.com;03/10/2025;72.4
User234@Shop.com;19/12/2025;33.84
user229@shop.com;10/03/2024;58.27
user155@shop.com;15/06/2024;-137.12
User255@Shop.com;26/06/2024;80.68
User106@Shop.com;06/07/2024;145.19
User244@Shop.com;18/09/2024;85.88
user317@shop.com;20/12/2024;14.75
User39@Shop.com;27/01/2025;76.24
;18/05/2025;176.71
User264@Shop.com;03/06/2025;114.8
User21@Shop.com;20/06/2025;17.65
user253@shop.com;12/07/2025;16.78
User365@Shop.com;20/07/2025;3.7
User329@Shop.com;24/07/2025;25.99
User274@Shop.com;26/07/2025;48.74
user321@shop.com;08/08/2025;28.74
user145@shop.com;22/08/2025;51.81
user131@shop.com;24/08/2025;100.61
User34@Shop.com;27/08/2025;74.75
User289@Shop.com;22/10/2025;64.32
user126@shop.com;05/11/2025;26.37
User347@Shop.com;02/01/2024;12.53
User186@Shop.com;12/02/2024;62.1
user357@shop.com;12/02/2024;32.74
;09/03/2024;69.68
user65@shop.com;05/04/2024;25.25
user139@shop.com;13/05/2024;68.68
user11@shop.com;26/05/2024;45.7
User197@Shop.com;11/06/2024;34.78
user260@shop.com;24/06/2024;7.41
user264@shop.com;13/07/2024;20.7
user86@shop.com;06/10/2024;22.15
User66@Shop.com;13/11/2024;19.7
user225@shop.com;18/05/2025;64.17
User253@Shop.com;06/07/2025;46.64
User377@Shop.com;13/09/2025;82.74
User358@Shop.com;14/09/2025;30.79
user152@shop.com;17/10/2025;16.36
user65@shop.com;02/03/2024;18.98
User101@Shop.com;07/03/2024;50.77
User352@Shop.com;05/04/2024;13.24
User183@Shop.com;07/07/2024;10.47
User397@Shop.com;31/08/2024;118.61
User263@Shop.com;31/08/2024;33.8
User238@Shop.com;04/09/2024;51.33
user41@shop.com;28/09/2024;13.96
user236@shop.com;29/09/2024;144.94
user152@shop.com;01/02/2025;92.99
user337@shop.com;23/03/2025;98.76
user54@shop.com;29/03/2025;35.21
user77@shop.com;11/04/2025;18.28
user265@shop.com;04/05/2025;19.73
user272@shop.com;15/07/2025;31.03
user332@shop.com;07/08/2025;32.03
User210@Shop.com;25/08/2025;7.06
User151@Shop.com;04/11/2025;17.95
User123@Shop.com;05/12/2025;83.14
User149@Shop.com;12/02/2024;58.9
User265@Shop.com;18/03/2024;175.21
user216@shop.com;29/07/2024;14.55
user119@shop.com;04/08/2024;48.56
User86@Shop.com;24/10/2024;20.07
User284@Shop.com;14/12/2024;33.37
user99@shop.com;23/04/2025;28.02
user84@shop.com;13/05/2025;101.01
User132@Shop.com;20/02/2024;133.68
User341@Shop.com;25/02/2024;43.54
User183@Shop.com;12/03/2024;42.3
User238@Shop.com;14/04/2024;36.57
user33@shop.com;06/06/2024;33.5
User138@Shop.com;08/06/2024;5.21
user301@shop.com;09/11/2024;41.49
user309@shop.com;24/12/2024;96.8
User232@Shop.com;09/01/2025;58.02
user350@shop.com;15/02/2025;98.56
;25/02/2025;25.11
user66@shop.com;31/03/2025;49.18
User31@Shop.com;15/04/2025;34.67
User80@Shop.com;21/04/2025;35.55
user305@shop.com;28/05/2025;34.51
User361@Shop.com;18/08/2025;125.67
User53@Shop.com;03/09/2025;111.4
User201@Shop.com;03/10/2025;45.79
user54@shop.com;14/12/2025;73.84
user338@shop.com;26/04/2024;54.04
User53@Shop.com;21/06/2024;39.37
User256@Shop.com;25/08/2024;123.55
User33@Shop.com;01/11/2024;40.76
User295@Shop.com;27/11/2024;39.41
user362@shop.com;02/12/2024;-35.98
User292@Shop.com;10/03/2025;43.19
User108@Shop.com;24/05/2025;37.98
User336@Shop.com;10/07/2025;83.23
user123@shop.com;29/08/2025;80.01
User301@Shop.com;03/09/2025;12.31
user333@shop.com;09/09/2025;7.92
User194@Shop.com;18/09/2025;56.39
User248@Shop.com;26/09/2025;17.32
user342@shop.com;05/10/2025;37.55
user75@shop.com;08/12/2025;20.07
user8@shop.com;01/03/2024;114.82
;18/05/2024;40.92
User73@Shop.com;08/09/2024;43.9
user353@shop.com;22/10/2024;50.91
user346@shop.com;06/12/2024;3.33
user150@shop.com;08/12/2024;33.16
user124@shop.com;13/12/2024;88.05
user284@shop.com;08/09/2025;58.01
User181@Shop.com;24/09/2025;115.16
User39@Shop.com;14/01/2024;96.43
User265@Shop.com;19/04/2024;29.56
User291@Shop.com;31/05/2024;55.84
user28@shop.com;03/06/2024;-140.05
user310@shop.com;25/07/2024;43.79
User213@Shop.com;23/09/2024;53.14
user330@shop.com;04/10/2024;59.52
User340@Shop.com;07/11/2024;15.66
user270@shop.com;29/11/2024;32.58
User134@Shop.com;23/01/2025;45.68
user148@shop.com;16/06/2025;25.52
user289@shop.com;04/08/2025;36.58
user26@shop.com;13/08/2025;77.04
User93@Shop.com;24/08/2025;41.06
User207@Shop.com;10/09/2025;23.71
User377@Shop.com;03/01/2024;60.61
user303@shop.com;08/01/2024;43.59
;27/04/2024;122.23
User77@Shop.com;25/08/2024;56.71
User112@Shop.com;07/10/2024;26.64
User107@Shop.com;30/11/2024;18.36
User300@Shop.com;17/12/2024;60.62
user214@shop.com;04/03/2025;180.55
user85@shop.com;08/03/2025;13.39
User299@Shop.com;29/05/2025;39.97
user255@shop.com;11/06/2025;19.12
user358@shop.com;13/07/2025;81.49
user223@shop.com;23/03/2024;44.68
user51@shop.com;29/03/2024;45.07
User355@Shop.com;07/04/2024;30.65
User74@Shop.com;01/07/2024;56.33
user22@shop.com;08/10/2024;46.85
User320@Shop.com;16/10/2024;62.16
User180@Shop.com;08/11/2024;29.37
User258@Shop.com;28/12/2024;16.52
user52@shop.com;02/01/2025;23.24
User288@Shop.com;15/02/2025;65.92
user162@shop.com;05/03/2025;26.75
user398@shop.com;13/03/2025;25.62
user254@shop.com;18/04/2025;66.73
User375@Shop.com;05/05/2025;2.44
user317@shop.com;27/07/2025;16.73
user337@shop.com;28/08/2025;28.44
user36@shop.com;10/09/2025;6.1
user311@shop.com;30/09/2025;79.8
user241@shop.com;15/11/2025;20.53
user158@shop.com;14/02/2024;51.63
User125@Shop.com;02/05/2024;68.04
user256@shop.com;25/05/2024;37.75
user79@shop.com;02/06/2024;14.44
User74@Shop.com;20/06/2024;35.98
User349@Shop.com;02/07/2024;25.53
User304@Shop.com;29/08/2024;26.48
User236@Shop.com;07/09/2024;24.19
User303@Shop.com;20/10/2024;80.77
user129@shop.com;31/10/2024;100.95
user288@shop.com;22/11/2024;70.99
User83@Shop.com;05/12/2024;27.9
user178@shop.com;10/12/2024;106.89
;01/02/2025;22.87
user151@shop.com;20/02/2025;48.26
user136@shop.com;25/04/2025;42.45
User168@Shop.com;21/05/2025;100.92
user191@shop.com;27/05/2025;52.09
user14@shop.com;06/07/2025;29.6
User137@Shop.com;15/07/2025;65.27
user337@shop.com;22/08/2025;59.66
User173@Shop.com;25/10/2025;88.46
user217@shop.com;19/11/2025;59.58
user42@shop.com;30/11/2025;42.27
user155@shop.com;06/12/2025;25.03
user387@shop.com;04/01/2024;81.82
user219@shop.com;16/02/2024;30.73
User9@Shop.com;20/05/2024;22.14
user288@shop.com;23/08/2024;68.88
user308@shop.com;30/09/2024;24.3
user153@shop.com;12/10/2024;74.41
User13@Shop.com;12/11/2024;14.11
User332@Shop.com;06/12/2024;39.44
user101@shop.com;21/01/2025;69.46
User367@Shop.com;27/03/2025;63.9
User145@Shop.com;27/04/2025;79.64
user155@shop.com;02/05/2025;29.57
user317@shop.com;13/05/2025;74.05
User55@Shop.com;22/05/2025;83.64
user12@shop.com;29/05/2025;30.71
User304@Shop.com;09/10/2025;96.23
user370@shop.com;13/11/2025;49.65
user397@shop.com;11/03/2024;-57.9
user52@shop.com;23/03/2024;18.39
user60@shop.com;01/04/2024;18.97
user136@shop.com;12/05/2024;35.88
user285@shop.com;13/05/2024;21.58
user364@shop.com;16/05/2024;68.75
user330@shop.com;19/05/2024;32.07
user150@shop.com;24/05/2024;69.29
user368@shop.com;09/08/2024;49.98
user103@shop.com;31/10/2024;36.96
User50@Shop.com;29/11/2024;-57.29
user174@shop.com;30/11/2024;5.59
User37@Shop.com;14/12/2024;76.46
user271@shop.com;03/01/2025;27.26
;22/02/2025;73.88
user43@shop.com;23/04/2025;8.75
user47@shop.com;11/05/2025;50.24
user72@shop.com;17/06/2025;85.01
User71@Shop.com;28/07/2025;62.72
user214@shop.com;12/08/2025;4.21
user230@shop.com;15/08/2025;37.53
user380@shop.com;20/09/2025;97.62
User179@Shop.com;13/10/2025;102.92
user370@shop.com;11/12/2025;40.73
user300@shop.com;18/12/2025;32.93
user342@shop.com;13/01/2024;85.86
User77@Shop.com;26/06/2024;73.29
user182@shop.com;26/06/2024;12.07
user365@shop.com;17/07/2024;42.77
user300@shop.com;03/10/2024;143.09
user87@shop.com;08/10/2024;40.94
user338@shop.com;09/10/2024;40.32
User307@Shop.com;16/10/2024;50.38
user59@shop.com;25/10/2024;112.17
user27@shop.com;30/01/2025;67.86
User104@Shop.com;17/02/2025;15.86
User189@Shop.com;09/05/2025;42.7
User62@Shop.com;23/05/2025;73.53
user13@shop.com;07/07/2025;187.43
user44@shop.com;23/09/2025;19.03
user126@shop.com;23/09/2025;96.38
user156@shop.com;30/09/2025;44.69
User125@Shop.com;15/01/2024;10.71
User179@Shop.com;27/03/2024;189.39
User288@Shop.com;19/04/2024;26.69
;08/05/2024;6.21
user182@shop.com;03/06/2024;68.85
user291@shop.com;07/08/2024;28.99
user23@shop.com;28/08/2024;43.28
user375@shop.com;17/12/2024;82.55
user398@shop.com;23/01/2025;88.88
user116@shop.com;29/03/2025;145.81
user355@shop.com;05/05/2025;12.26
user101@shop.com;06/06/2025;24.29
User366@Shop.com;16/06/2025;52.7
user264@shop.com;30/08/2025;96.7
user99@shop.com;28/09/2025;16.62
User25@Shop.com;13/10/2025;-96.6
User158@Shop.com;15/10/2025;69.69
User298@Shop.com;04/01/2024;173.4
User91@Shop.com;26/05/2024;13.49
User206@Shop.com;17/08/2024;65.12
user50@shop.com;06/11/2024;46.34
User170@Shop.com;07/03/2025;125.62
user14@shop.com;11/03/2025;26.22
user394@shop.com;30/03/2025;39.45
User201@Shop.com;20/05/2025;12.52
user336@shop.com;11/08/2025;12.84
user50@shop.com;19/09/2025;34.23
user68@shop.com;23/09/2025;110.02
user71@shop.com;24/09/2025;87.01
User227@Shop.com;21/10/2025;33.18
User344@Shop.com;29/10/2025;40.06
user243@shop.com;22/11/2025;51.15
user194@shop.com;11/12/2025;24.98
User376@Shop.com;16/05/2024;26.79
User74@Shop.com;03/07/2024;37.77
user66@shop.com;21/12/2024;14.41
User268@Shop.com;30/12/2024;14.02
User341@Shop.com;02/01/2025;38.46
User107@Shop.com;05/01/2025;20.25
User105@Shop.com;22/02/2025;51.63
User211@Shop.com;17/03/2025;29.85
user311@shop.com;21/06/2025;15.39
